Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
PIH,"1347 Property Insurance Holdings, Inc.",7.45,$44.39M,2014,Finance,Property-Casualty Insurers
FLWS,"1-800 FLOWERS.COM, Inc.",10.4,$678.93M,1999,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),13.7,$109.37M,n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,39.51,$1.02B,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",7.51,$855.01M,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",35.9,$1.69B,2014,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",34,$2.04B,2004,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,12.77,$1.01B,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,15.1,$1.37B,n/a,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",16.85,$380.31M,n/a,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",32.05,$943.61M,1972,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",32.85,$1.73B,n/a,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",52.9,$1.19B,1992,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,7.25,$289.71M,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,3.7,n/a,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,2.93,$74.06M,2014,Finance,Business Services
ABMD,"ABIOMED, Inc.",113.6,$4.93B,n/a,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,1.79,$241.83M,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,16.11,$892.43M,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",74.13,$2.77B,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,6.5,$328.01M,n/a,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",38.34,$3.35B,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,29.1,$3.52B,1985,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",1.3204,$14.14M,n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",25.8,$1.33B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,38.15,$1.44B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,26.69,$283.19M,n/a,Finance,Savings Institutions
ARAY,Accuray Incorporated,5.25,$428.89M,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",3.1,$140.53M,2011,Health Care,Major Pharmaceuticals
