Ticker,Exchange,Country
VATSAEDU.BO,BSE,India
RES.TO,TOR,Canada
WELLNESS.BO,BSE,India
WNGRF,PNK,USA
ECV.L,LSE,UK
RXNRP,PNK,USA
HAL,NYQ,USA
MCF,ASE,USA
ADRO.JK,JKT,Indonesia
CASS,NMS,USA
YESB.BO,BSE,India
ORN.MX,MEX,Mexico
EUGFF,PNK,USA
BKS3.F,FRA,Germany
M0X.F,FRA,Germany
5049@BN.KL,KLS,Malaysia
9957.TWO,TWO,Taiwan
XXNCC,PNK,USA
APH.MX,MEX,Mexico
KAJ.DU,DUS,Germany
1904.TW,TAI,Taiwan
MHN.L,LSE,UK
QTS.BE,BER,Germany
VMPT,PNK,USA
GGB,NYQ,USA
DNO.BE,BER,Germany
WM1.MU,MUN,Germany
WDI.EX,EUX,Germany
BRYAT.IS,IST,Turkey
SFCL.NS,NSI,India
PZBW,PNK,USA
7198.KL,KLS,Malaysia
RIGL,NMS,USA
WGNR,PNK,USA
MXGFF,PNK,USA
ZAZ.IR,ISE,UK
SOFO,NCM,Australia
NOC,NYQ,USA
QC1.F,FRA,Germany
4543.TWO,TWO,Taiwan
TKECF,PNK,USA
BBSI,NMS,USA
PSAN.DE,GER,Germany
GFOX,PNK,USA
SWJ.L,LSE,UK
JRO,NYQ,USA
XPL,ASE,USA
0960.HK,HKG,Hong Kong
VIGLF,PNK,USA
LDNXF,PNK,USA
PPS,NYQ,USA
VRBCF,PNK,USA
CN.V,VAN,Canada
EPLAS.IS,IST,Turkey
BRMEN.IS,IST,Turkey
TVL.V,VAN,Canada
SIXN,PNK,USA
ORYYF,PNK,USA
JAV2.F,FRA,Germany
GLDD,NMS,USA
JDT.L,LSE,UK
UANC.L,LSE,UK
VNET,NMS,USA
SDP.L,LSE,UK
NG4.BE,BER,Germany
ARL,NYQ,USA
MBDE,PNK,USA
MSN,ASE,USA
NPV,NYQ,USA
EDGA.SG,STU,Germany
VZ8.F,FRA,Germany
UNQTYMI.BO,BSE,India
HRTFF,PNK,USA
JPAVF,PNK,USA
CHBH,PNK,USA
PHT,NYQ,USA
BZM,ASE,USA
ZEON.F,FRA,Germany
TOM.HA,HAN,Germany
HSBA.L,LSE,UK
ICM.V,VAN,Canada
WSPOF,PNK,USA
716994.TWO,TWO,Taiwan
CTX.MU,MUN,Germany
03015X.TW,TAI,Taiwan
IRNS,PNK,USA
81A.SG,STU,Germany
LGGNY,PNK,USA
GAP.BE,BER,Germany
TISI,NYQ,USA
ZPPOLYSA.BO,BSE,India
MCGS.QA,DOH,Qatar
FALC,NGM,Sweden
XPL.L,LSE,UK
BIND,NMS,USA
CAPS,PNK,USA
FRMO,PNK,USA
LEG.AX,ASX,Australia
NCX.V,VAN,Canada
RSH.BE,BER,Germany
SKM.F,FRA,Germany
SHVLF,PNK,USA
KOBX.JK,JKT,Indonesia
HES,NYQ,USA
KOA.BE,BER,Germany
BYM,NYQ,USA
TAPM,PNK,USA
VVVFF,PNK,USA
CYU.AX,ASX,Australia
SEIGF,PNK,USA
YFGSF,PNK,USA
MLZAM.PA,PAR,France
SOBI.ST,STO,Sweden
EML.AX,ASX,Australia
ZONNF,PNK,USA
EZCH.TA,TLV,Israel
CAMT,NGM,Sweden
TBNK,NMS,USA
HCA,NYQ,USA
NXT.V,VAN,Canada
XL,NYQ,USA
BRU.AX,ASX,Australia
XIL.PA,PAR,France
VNTV,NYQ,USA
SKIS,NGM,Sweden
HLM-P,ASE,USA
UTDI.F,FRA,Germany
LHA.F,FRA,Germany
MAP.MC,MCE,Spain
UGI.F,FRA,Germany
BZ.V,VAN,Canada
FMX,NYQ,USA
003010.KS,KSC,Korea
QNTO,PNK,USA
NAII,NGM,Sweden
JOC.V,VAN,Canada
1250.HK,HKG,Hong Kong
ADMS,NGM,Sweden
SATELENG.BO,BSE,India
WLDN,NGM,Sweden
BSRC,PNK,USA
MMC,NYQ,USA
AMPG,PNK,USA
OBL.F,FRA,Germany
SYPR,NGM,Sweden
ADES,NCM,Australia
YI2A.BE,BER,Germany
CHD,NYQ,USA
MAGNF,PNK,USA
APN.AX,ASX,Australia
SRE,NYQ,USA
CAG.AX,ASX,Australia
VGN.V,VAN,Canada
EGLYO.IS,IST,Turkey
RY-PD.TO,TOR,Canada
FUJ1.DU,DUS,Germany
VIH.DE,GER,Germany
KW,NYQ,USA
IIKKF,PNK,USA
BVCL-EQ.NS,NSI,India
KLR.L,LSE,UK
SBHGF,PNK,USA
TQBY,OBB,USA
MAAJTL.BO,BSE,India
MZ8.BE,BER,Germany
XCW.F,FRA,Germany
CHKP,NMS,USA
EVM,ASE,USA
RPG.AX,ASX,Australia
VERTU.IS,IST,Turkey
DEZ.DE,GER,Germany
SSE.L,LSE,UK
OLY1.F,FRA,Germany
DZX.SG,STU,Germany
HNM.F,FRA,Germany
FLEX,NMS,USA
MVBF,PNK,USA
XGRA9.BA,BUE,Argentina
AZJ.AX,ASX,Australia
011780.KS,KSC,Korea
JPLZW,PNK,USA
VJET.SW,EBS,Austria
VENUSREM.NS,NSI,India
YZCFF,PNK,USA
DXPE,NMS,USA
JSI.L,LSE,UK
000150.KS,KSC,Korea
UBMN.L,LSE,UK
TTHI,NGM,Sweden
PZG,ASE,USA
QACM.HM,HAM,Germany
2282.HK,HKG,Hong Kong
GWW.SG,STU,Germany
26P.BE,BER,Germany
ENRT,PNK,USA
PG8.F,FRA,Germany
WJXFF,PNK,USA
VG8.BE,BER,Germany
LOOK,NCM,Australia
TMAS.JK,JKT,Indonesia
011560.KQ,KOE,South Korea
RDCM,NCM,Australia
JUTHA.BK,SET,Thailand
SHSH,PNK,USA
FREA.F,FRA,Germany
SBM.AX,ASX,Australia
VPC.AX,ASX,Australia
RAFI,PNK,USA
YCP.DU,DUS,Germany
SNFCA,NGM,Sweden
NWYF,PNK,USA
ALV.DE,GER,Germany
BIW.DU,DUS,Germany
G1V.BE,BER,Germany
AMZN,NMS,USA
SBMRF,PNK,USA
GND.PA,PAR,France
ZP8.MU,MUN,Germany
IU2.MU,MUN,Germany
VBL.BE,BER,Germany
XUN.F,FRA,Germany
CTY.TO,TOR,Canada
TBLMY,PNK,USA
CSC,NYQ,USA
1616.HK,HKG,Hong Kong
YBA.F,FRA,Germany
ZVR.F,FRA,Germany
AAU,ASE,USA
DAI.DE,GER,Germany
RYN.MX,MEX,Mexico
OVT.V,VAN,Canada
STL,NYQ,USA
QGOLDHALF.NS,NSI,India
WPC.L,LSE,UK
JPTXF,PNK,USA
TMEB,PNK,USA
03048X.TW,TAI,Taiwan
HRH.V,VAN,Canada
ARHVF,PNK,USA
UIHC,NCM,Australia
QY1.F,FRA,Germany
KOFL.MX,MEX,Mexico
KMGLF,PNK,USA
AV-UN.TO,TOR,Canada
OPE.MU,MUN,Germany
HH,ASE,USA
AXST,PNK,USA
SAJA,NCM,Australia
NLB1.DE,GER,Germany
BKUT,PNK,USA
3063-OL.HK,HKG,Hong Kong
LXK,NYQ,USA
PRTY,NYQ,USA
SSL,NYQ,USA
PP1.MU,MUN,Germany
21X.F,FRA,Germany
0885.HK,HKG,Hong Kong
BGH,NYQ,USA
AVID,NMS,USA
QU8.SG,STU,Germany
GWO-PQ.TO,TOR,Canada
RY4C.IR,ISE,UK
8107.TWO,TWO,Taiwan
VTC.L,LSE,UK
716156.TWO,TWO,Taiwan
000040.KS,KSC,Korea
CS.PA,PAR,France
OCI1.DE,GER,Germany
YOHOF,PNK,USA
WIMHF,PNK,USA
GCHE.ME,MCX,India
USCS,PNK,USA
O5H.DE,GER,Germany
BK-PC,NYQ,USA
BVWN,PNK,USA
ASG,NYQ,USA
N9M.MU,MUN,Germany
FLIC,NCM,Australia
CBA,NYQ,USA
HNT,NYQ,USA
003960.KS,KSC,Korea
K1Q.SI,SES,Singapore
ZENTEC-EQ.NS,NSI,India
NFTGF,PNK,USA
IIN,NGM,Sweden
XIA.V,VAN,Canada
ROCEF,PNK,USA
JTNB,PNK,USA
AMDA,NCM,Australia
YAMCY,PNK,USA
CNOB,NMS,USA
NWCN,PNK,USA
716552.TWO,TWO,Taiwan
VRCI,PNK,USA
MEXCHEM.MX,MEX,Mexico
SHLD,NMS,USA
PM6.F,FRA,Germany
DISI.TA,TLV,Israel
JD,NMS,USA
LTEL3BF.SA,SAO,Brazil
VTL,NMS,USA
UNQ.DU,DUS,Germany
7122@BN.KL,KLS,Malaysia
0826.HK,HKG,Hong Kong
QD4.F,FRA,Germany
WGEE,PNK,USA
7KL.BE,BER,Germany
NRM.SG,STU,Germany
JAYBARMAR.NS,NSI,India
LCDX,PNK,USA
JIX.F,FRA,Germany
QUS.F,FRA,Germany
GTOMY,PNK,USA
DIP0.BA,BUE,Argentina
KIN2.DE,GER,Germany
HSPG.OL,OSL,Norway
ZNHH.BE,BER,Germany
EFII,NMS,USA
UTG.L,LSE,UK
MJNA,PNK,USA
QSC.DE,GER,Germany
PFH,NYQ,USA
GOI3.F,FRA,Germany
NHLD,NCM,Australia
3709.HK,HKG,Hong Kong
CVI,NYQ,USA
KEL.TO,TOR,Canada
AAV.TO,TOR,Canada
PAR.ST,STO,Sweden
TNK,NYQ,USA
CH1A.SG,STU,Germany
PLI.TO,TOR,Canada
SGMO,NMS,USA
DU4.SI,SES,Singapore
MTP,NCM,Australia
UMPQ,NMS,USA
GRBS,PNK,USA
71942P.TWO,TWO,Taiwan
UBK.HM,HAM,Germany
DOR.L,LSE,UK
WSMTF,PNK,USA
LEON,PNK,USA
YX3F.EX,EUX,Germany
XCIA.F,FRA,Germany
VLE.MU,MUN,Germany
FTS-PK.TO,TOR,Canada
XHSA.DU,DUS,Germany
ZIM.BE,BER,Germany
NONOF,PNK,USA
C-PP,NYQ,USA
721997.TWO,TWO,Taiwan
ITC.TO,TOR,Canada
EGY,NYQ,USA
VV0.F,FRA,Germany
721669.TWO,TWO,Taiwan
KURA,NMS,USA
8092.TWO,TWO,Taiwan
WDI.SW,EBS,Austria
RVTI,PNK,USA
SSS,NYQ,USA
JE9N.F,FRA,Germany
ZCT1.DE,GER,Germany
4GN.MU,MUN,Germany
FGOVF,PNK,USA
ONFC,NGM,Sweden
SHL.AX,ASX,Australia
5264.TW,TAI,Taiwan
MBUMY,PNK,USA
AAH3.BE,BER,Germany
GLUX,PNK,USA
NIK.V,VAN,Canada
HARI,PNK,USA
ENDV,PNK,USA
CDOM,PNK,USA
QTM.AX,ASX,Australia
SERV,NYQ,USA
STIE,PNK,USA
0775.HK,HKG,Hong Kong
4J2.BE,BER,Germany
TTI,NYQ,USA
9188.TW,TAI,Taiwan
DCOU,PNK,USA
ENP.V,VAN,Canada
ANL.F,FRA,Germany
44RS.L,LSE,UK
GDLNF,PNK,USA
RNWEY,PNK,USA
3029-OL.HK,HKG,Hong Kong
GPOR.L,LSE,UK
8250-OL.HK,HKG,Hong Kong
ESDI,PNK,USA
AYS.AX,ASX,Australia
BG,NYQ,USA
TRU,NYQ,USA
TXRX3F.SA,SAO,Brazil
ORC,NYQ,USA
ASL.L,LSE,UK
XKE,NYQ,USA
3052-OL.HK,HKG,Hong Kong
FMC1.DE,GER,Germany
WCUI,PNK,USA
LLTC,NMS,USA
YFI.V,VAN,Canada
5159.KL,KLS,Malaysia
QCQ.F,FRA,Germany
UBR.V,VAN,Canada
CACB,NCM,Australia
HRO.F,FRA,Germany
ON.V,VAN,Canada
NCZ,NYQ,USA
DCA,NYQ,USA
GAHC,OBB,USA
XEN.MU,MUN,Germany
YGGYO.IS,IST,Turkey
40JP.L,LSE,UK
XAE2.BE,BER,Germany
YIPI,PNK,USA
WL4N.F,FRA,Germany
BBEPP,NMS,USA
YTMF01.AX,ASX,Australia
AFBOF,PNK,USA
RBAZ,PNK,USA
DYDIF,PNK,USA
RBS-PS,NYQ,USA
BPLD.BA,BUE,Argentina
AVXL,NCM,Australia
AI.TO,TOR,Canada
EVOK,NCM,Australia
SMME,PNK,USA
VAPO,OBB,USA
G09.F,FRA,Germany
RLD,NYQ,USA
019440.KS,KSC,Korea
SWK,NYQ,USA
TRMLF,PNK,USA
EPXY,PNK,USA
BIOM,PNK,USA
KYSEY,PNK,USA
KJ7.SI,SES,Singapore
6540.TWO,TWO,Taiwan
WKH.BE,BER,Germany
VAC,NYQ,USA
IMMU,NGM,Sweden
NNL.F,FRA,Germany
STDY,NGM,Sweden
V3V.SG,STU,Germany
BKCT,OBB,USA
QPACW,NCM,Australia
HIFH.HM,HAM,Germany
GLOB,NYQ,USA
ONIN,PNK,USA
ROTH,PNK,USA
TYPFF,PNK,USA
DJPHF,PNK,USA
YI2A.MU,MUN,Germany
ABAN.BO,BSE,India
VRTC,PNK,USA
PLAB,NMS,USA
DIR-UN.TO,TOR,Canada
ELAL.TA,TLV,Israel
JACK,NMS,USA
EUYO.IS,IST,Turkey
ANSA.IS,IST,Turkey
1297.HK,HKG,Hong Kong
APGA,PNK,USA
BZF1.F,FRA,Germany
URZ.TO,TOR,Canada
NXK,ASE,USA
OFSA3.SA,SAO,Brazil
FRPC,PNK,USA
RBS-PF,NYQ,USA
SNFRF,PNK,USA
QMDT,PNK,USA
DGRLY,PNK,USA
RIO,NYQ,USA
BAMXF,PNK,USA
ACG.AX,ASX,Australia
QGJ.F,FRA,Germany
KPELY,PNK,USA
2ZXA.BE,BER,Germany
NCI,NYQ,USA
PAOR.PA,PAR,France
TDC.BE,BER,Germany
REV,NYQ,USA
ZVR.BE,BER,Germany
UNV.AX,ASX,Australia
HZJ.MU,MUN,Germany
UX2A.F,FRA,Germany
SLGYY,PNK,USA
6899.HK,HKG,Hong Kong
ECR,NYQ,USA
WI4.F,FRA,Germany
LUNA,NCM,Australia
NSCTD,PNK,USA
IGEN,PNK,USA
CJRCF,PNK,USA
KMRCF,PNK,USA
HOUM,PNK,USA
YPPN,PNK,USA
133716.L,LSE,UK
WFC.MX,MEX,Mexico
THVB,PNK,USA
M04.BE,BER,Germany
BWEN,NCM,Australia
PJF.L,LSE,UK
TX,NYQ,USA
KLSB.ME,MCX,India
AAB.TO,TOR,Canada
CMN,NYQ,USA
GGRGF,PNK,USA
G41.SI,SES,Singapore
TOYMO.SW,EBS,Austria
K90.BE,BER,Germany
OHB.DE,GER,Germany
MKRYF,PNK,USA
KMOL.AT,ATH,Greece
PSSEF,PNK,USA
ABR,NYQ,USA
MLC.L,LSE,UK
BF5B.BE,BER,Germany
SQNM,NMS,USA
JAH,NYQ,USA
LFC,NYQ,USA
MBLX,NCM,Australia
CLTS,PNK,USA
137817.L,LSE,UK
VAI.F,FRA,Germany
LPTH,NCM,Australia
TXRX4F.SA,SAO,Brazil
SBUX.MX,MEX,Mexico
011170.KS,KSC,Korea
MUTHTFN.BO,BSE,India
OLB.HM,HAM,Germany
SGFEF,PNK,USA
PKT,NMS,USA
ZTA.AX,ASX,Australia
SKT.AX,ASX,Australia
SKVY,PNK,USA
LVNTA,NMS,USA
T98.F,FRA,Germany
DTV,NMS,USA
AFR.AX,ASX,Australia
YB2P.F,FRA,Germany
RRD,NMS,USA
NYT.MU,MUN,Germany
XENA.TA,TLV,Israel
QB3.F,FRA,Germany
DRAL.TA,TLV,Israel
FORN.SW,EBS,Austria
NPT.NZ,NZE,New Zealand
P6NN.SG,STU,Germany
XKI.BE,BER,Germany
XY8.F,FRA,Germany
CZICF,OBB,USA
ACR.DE,GER,Germany
BLD-WI,NYQ,USA
MMMM,PNK,USA
PRPI,OBB,USA
GHE.L,LSE,UK
VTX.AX,ASX,Australia
MCK.V,VAN,Canada
V2M.F,FRA,Germany
HHE.SG,STU,Germany
RVREF,PNK,USA
LG7.SI,SES,Singapore
DNAI,NGM,Sweden
RCBC,PNK,USA
PNE3.BE,BER,Germany
ASCC,PNK,USA
0851-OL.HK,HKG,Hong Kong
ZAS.F,FRA,Germany
SGH.AX,ASX,Australia
BHD.VI,VIE,Austria
QCTA.MU,MUN,Germany
KFRC,NMS,USA
MXIM,NMS,USA
PEDH,PNK,USA
CPAH,NCM,Australia
ZHIMATMO.BO,BSE,India
122990.KQ,KOE,South Korea
GCHEF,PNK,USA
DIVSHKT.BO,BSE,India
ESUU11F.SA,SAO,Brazil
OTOKLIN.BO,BSE,India
JHY,NYQ,USA
ORGS,PNK,USA
ORE.TO,TOR,Canada
QMIS,PNK,USA
IMHDF,PNK,USA
MBIT,PNK,USA
SEGSF,PNK,USA
SFDL,PNK,USA
MOH,NYQ,USA
MXX.V,VAN,Canada
CXGH.SG,STU,Germany
DPM.DU,DUS,Germany
3GZA.F,FRA,Germany
MYOS,NCM,Australia
RYS1.DE,GER,Germany
WWEXF,PNK,USA
CATG,PNK,USA
WEK.F,FRA,Germany
JAF.MU,MUN,Germany
ORNC,OBB,USA
YNDX.ME,MCX,India
LRTNF,PNK,USA
KEMP.BO,BSE,India
03049X.TW,TAI,Taiwan
PML.L,LSE,UK
VALUEMAR.BO,BSE,India
PAACU,NCM,Australia
RLBS,PNK,USA
Y2WA.BE,BER,Germany
SBRY.L,LSE,UK
MRPLY,PNK,USA
LILAK,NMS,USA
CPKA,PNK,USA
0ZG2.F,FRA,Germany
ORBITCORP.BO,BSE,India
ASKH,OBB,USA
PACEW,NCM,Australia
SERNF,PNK,USA
TVPKF,PNK,USA
SRS.F,FRA,Germany
DSGT,PNK,USA
HOMR,OBB,USA
NTC,NYQ,USA
OX.V,VAN,Canada
XGW.BE,BER,Germany
EQFN,NCM,Australia
PACB,NMS,USA
GLPEY,PNK,USA
FFIN,NMS,USA
QPJ.BE,BER,Germany
LEN.L,LSE,UK
TSS,NYQ,USA
LAD,NYQ,USA
SAL,NCM,Australia
SOHFF,PNK,USA
WFC-WT,NYQ,USA
PUNK,PNK,USA
YCB,NCM,Australia
FOO.DU,DUS,Germany
STS.L,LSE,UK
WAL.SG,STU,Germany
138654.L,LSE,UK
RWS.L,LSE,UK
STR,NYQ,USA
TRPN3.SA,SAO,Brazil
KGF.L,LSE,UK
721720.TWO,TWO,Taiwan
LLTP,PNK,USA
